clinic_code,specialty,tarifa_base,moneda,vigencia_desde
CL01,Medicina General,1850,MXN,2024-01-01
CL01,Pediatría,2000,MXN,2024-01-01
CL01,Traumatología,700,MXN,2025-01-01
CL01,Cardiología,900,MXN,2024-01-01
CL01,Dermatología,650,MXN,2024-01-01
CL01,Ginecología,1750,MXN,2024-01-01
CL01,Odontología,1450,MXN,2024-01-01
CL01,Oftalmología,1600,MXN,2024-01-01
CL02,Medicina General,1900,MXN,2024-01-01
CL02,Pediatría,1700,MXN,2024-01-01
CL02,Traumatología,750,MXN,2025-01-01
CL02,Cardiología,1400,MXN,2025-01-01
CL02,Dermatología,1550,MXN,2024-01-01
CL02,Ginecología,950,MXN,2024-01-01
CL02,Odontología,2100,MXN,2024-01-01
CL02,Oftalmología,1650,MXN,2024-01-01
CL03,Medicina General,650,MXN,2024-01-01
CL03,Pediatría,750,MXN,2025-01-01
CL03,Traumatología,700,MXN,2025-01-01
CL03,Cardiología,1200,MXN,2024-01-01
CL03,Dermatología,1250,MXN,2025-01-01
CL03,Ginecología,2000,MXN,2024-01-01
CL03,Odontología,550,MXN,2024-01-01
CL03,Oftalmología,700,MXN,2025-01-01
CL04,Medicina General,1450,MXN,2024-01-01
CL04,Pediatría,2000,MXN,2024-01-01
CL04,Traumatología,1750,MXN,2024-01-01
CL04,Cardiología,1550,MXN,2024-01-01
CL04,Dermatología,700,MXN,2024-01-01
CL04,Ginecología,1100,MXN,2024-01-01
CL04,Odontología,1600,MXN,2025-01-01
CL04,Oftalmología,1700,MXN,2024-01-01
CL05,Medicina General,2000,MXN,2024-01-01
CL05,Pediatría,800,MXN,2024-01-01
CL05,Traumatología,1800,MXN,2024-01-01
CL05,Cardiología,1500,MXN,2024-01-01
CL05,Dermatología,500,MXN,2024-01-01
CL05,Ginecología,2150,MXN,2024-01-01
CL05,Odontología,900,MXN,2024-01-01
CL05,Oftalmología,1550,MXN,2024-01-01
